"placekey","parent_placekey","location_name","street_address","city","region","postal_code","safegraph_brand_ids","brands","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","poi_cbg","visitor_home_cbgs","visitor_home_aggregation","visitor_daytime_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type"
224-222@8gd-qcc-4gk,222-225@8gd-qcc-ty9,Walmart,4725 US Highway 80 E,Whitemarsh Island,GA,31410,SG_BRAND_04a8ca7bf49e7ecb4a32451676e929f0,Walmart,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,1447,977,"[48,48,40,35,38,37,37,56,45,55,43,35,59,36,78,39,40,38,45,41,48,46,57,41,42,46,46,60,46,62,60]",130510111062,"{""130510111042"":63,""130510111092"":61,""130510111061"":43,""130510111062"":35,""130510111072"":34,""130510111041"":28,""130510111073"":23,""130510111091"":18,""130510111034"":18,""130510111081"":17,""130510111032"":17,""130510111082"":15,""130510111071"":15,""130510111093"":12,""130510111043"":12,""130510036011"":11,""130510107001"":11,""130510111033"":11,""130510111031"":9,""130510028003"":9,""130510101012"":8,""130510111094"":8,""130510110041"":8,""130510036012"":8,""130210121022"":7,""130099706001"":6,""130510036022"":6,""130570902002"":6,""132231206041"":5,""130510040013"":5,""130510108081"":5,""130159610003"":5,""132231204002"":4,""130510036021"":4,""060730208052"":4,""130510036024"":4,""180430710042"":4,""130510113001"":4,""120990009032"":4,""131790101032"":4,""130510108063"":4,""260590501002"":4,""130510042101"":4,""130210135042"":4,""131030304021"":4,""130510102003"":4,""010510301004"":4,""390610046042"":4,""540330311001"":4,""220290002003"":4,""130510108021"":4,""130510029001"":4,""450679505004"":4,""470090115032"":4,""130510036023"":4,""484391139216"":4,""470159602005"":4,""130510101023"":4,""130510037001"":4,""131430104002"":4,""131319505004"":4,""370210022041"":4,""130510038002"":4,""131839702003"":4,""120860046053"":4,""131099702002"":4,""291892175005"":4,""450439206002"":4,""132130101001"":4,""130299201011"":4,""120310160003"":4,""130510038001"":4,""130510022001"":4,""130311105003"":4,""471650210071"":4,""131030303043"":4,""130510108092"":4,""120830010051"":4,""291833110032"":4,""130510105021"":4,""130510040024"":4,""130510035022"":4,""130670311084"":4,""130510110054"":4,""010810410001"":4,""471130016101"":4,""371259508013"":4,""130510040012"":4,""132971108004"":4,""130510040022"":4,""130510021003"":4,""130510042112"":4,""130510042121"":4,""130510106031"":4,""130510108091"":4,""130510001001"":4,""330110111011"":4,""130510026001"":4,""131510702042"":4,""450539503004"":4,""130950107003"":4,""131131404051"":4,""130510023002"":4,""010030114072"":4,""180350009021"":4,""130510037002"":4,""131030303011"":4,""130510042111"":4,""180190507042"":4,""130237903002"":4,""130510106012"":4,""130510042084"":4,""010810407001"":4,""130510101011"":4,""130510035013"":4,""130510034002"":4,""130510035012"":4,""421190901023"":4,""360430102023"":4,""130890233091"":4,""130510116002"":4,""170950007003"":4,""132450102041"":4,""130510101021"":4,""481677215002"":4,""130730303091"":4,""120090713391"":4,""261570004001"":4,""121270825071"":4}","{""13051011109"":105,""13051011104"":101,""13051011106"":79,""13051011107"":68,""13051011103"":56,""13051011108"":33,""13051003601"":18,""13051003602"":17,""13051010700"":13,""13051010102"":12,""13051010101"":10,""13051003700"":8,""13051004208"":7,""13051010809"":7,""13051003800"":7,""13089021705"":6,""13051004001"":6,""13051004002"":6,""13031110700"":5,""13051010806"":5,""29189217500"":5,""13051000100"":5,""13051010802"":5,""13051011003"":5,""13051003400"":5,""13051010601"":4,""26059050100"":4,""13103030301"":4,""01051030100"":4,""13103030202"":4,""13073030309"":4,""13021012102"":4,""13051002700"":4,""13051011004"":4,""13051011600"":4,""13051003000"":4,""13103030304"":4,""13121001700"":4,""39103408100"":4,""13051010808"":4,""13021013504"":4,""13051002300"":4,""39057240700"":4,""13245010906"":4,""13213010100"":4,""13051000601"":4,""06073020805"":4,""47165021007"":4,""13211010200"":4,""39061004604"":4,""37119005604"":4,""13107970600"":4,""13103030305"":4,""13051004400"":4,""37119006005"":4,""45035010820"":4,""13051002800"":4,""13051010200"":4,""18043071004"":4,""13051003501"":4,""13051002100"":4,""13051010502"":4,""13051002000"":4,""13051004210"":4,""13023790300"":4,""13021013603"":4,""13051002600"":4,""13051002200"":4,""47149040806"":4,""13223120604"":4,""18097390300"":4,""13103030402"":4,""37125950801"":4,""13051002900"":4,""13297110800"":4,""13051004500"":4,""48135003000"":4,""13167960200"":4,""13059000402"":4,""13089023309"":4,""12127082507"":4,""13121010510"":4,""13085970100"":4,""51059450701"":4,""20045001600"":4,""45083021802"":4,""26157000400"":4,""13051003502"":4,""01081040700"":4,""13135050545"":4,""13043950100"":4,""12127090204"":4,""13135050106"":4,""12021010209"":4,""13051011300"":4,""13031110900"":4,""12009071339"":4,""13051004211"":4,""39085204400"":4,""13029920306"":4,""06071008200"":4,""13119890200"":4,""47157020642"":4,""13051010803"":4,""13129970400"":4,""13143010400"":4,""13051004212"":4,""13313000301"":4,""13057091103"":4,""12011031101"":4,""13117130101"":4,""13031110500"":4}","{""130510111042"":51,""130510111092"":45,""130510111061"":37,""130510111062"":36,""130510111072"":26,""130510111071"":25,""130510111041"":22,""130510111091"":20,""130510111034"":18,""130510111073"":18,""130510107001"":17,""130510111033"":15,""130510111043"":15,""130510036011"":14,""130510111082"":13,""130510111031"":12,""130510111032"":12,""130510101012"":12,""130510111081"":12,""130510003001"":10,""130510111093"":10,""130510111094"":10,""130510035013"":8,""130510040014"":7,""130510042083"":6,""130510036012"":6,""130510101021"":6,""132971108004"":6,""130510040023"":6,""130510108091"":5,""130890233091"":5,""130510101023"":5,""130670303442"":5,""130590302001"":4,""130510042121"":4,""130510107002"":4,""130670314062"":4,""132099502003"":4,""130510022001"":4,""131350505372"":4,""180973903003"":4,""391535332004"":4,""481872107082"":4,""290970115002"":4,""130510035022"":4,""130510034004"":4,""180430710042"":4,""483290101091"":4,""130510105013"":4,""130510029001"":4,""130510044001"":4,""130510045003"":4,""130510003002"":4,""371190060051"":4,""290997001091"":4,""131350506081"":4,""130730303091"":4,""130510038001"":4,""010890105021"":4,""130510042101"":4,""130237903002"":4,""131690303023"":4,""130510108034"":4,""130510102001"":4,""290370607002"":4,""130859701003"":4,""120570053012"":4,""130510022004"":4,""130210135042"":4,""450130021073"":4,""130311106013"":4,""484391139216"":4,""130510036022"":4,""130510037001"":4,""471650210071"":4,""130859702023"":4,""130510040024"":4,""130510006012"":4,""471490414011"":4,""130510045002"":4,""132450105063"":4,""130510106031"":4,""131030303031"":4,""295101018003"":4,""130510036025"":4,""130510035024"":4,""130439501002"":4,""130510042082"":4,""130510040012"":4,""130510038002"":4,""170950007003"":4,""130510110043"":4,""120090624004"":4,""132070502002"":4,""130510040022"":4,""130510035012"":4,""130510036024"":4,""131099702002"":4,""130510006014"":4,""131879602022"":4,""371830535231"":4,""212270101002"":4,""130510108092"":4,""261570004001"":4,""130510112002"":4,""130510030002"":4,""130510108081"":4,""130210121022"":4,""132450110002"":4,""130510106016"":4,""130510108021"":4,""130670307002"":4,""130510110031"":4,""130510102003"":4,""180430710051"":4,""371190056041"":4,""120632106004"":4,""131679602004"":4,""180350009021"":4,""131079706004"":4,""130510114002"":4,""130510101011"":4,""132679501003"":4,""130630403072"":4,""121030274023"":4,""130510106015"":4,""130510042084"":4,""130510042113"":4,""130510011001"":4,""130210137002"":4,""132231206041"":4,""131899504003"":4}","{""US"":966}",7879,19.0,"{""<5"":40,""5-10"":412,""11-20"":367,""21-60"":490,""61-120"":64,""121-240"":24,"">240"":50}","{""McDonald's"":7,""BP"":5,""Parker's Corp"":4,""Publix Super Markets"":4,""Dollar Tree"":4,""The Home Depot"":4,""Shell Oil"":4,""Enmarket"":4,""Goodwill Industries"":3,""Chick-fil-A"":3,""Wendy's"":3,""Bentley's Pet Stuff"":3,""YMCA"":2,""Anytime Fitness"":2,""Walgreens"":2,""Piercing Pagoda"":2,""Dollar General"":2,""Kroger"":2,""Kroger Fuel Center"":1,""Sonic"":1}","{""McDonald's"":55,""Chick-fil-A"":36,""Shell Oil"":35,""Dollar Tree"":35,""The Home Depot"":34,""Publix Super Markets"":32,""BP"":32,""Parker's Corp"":30,""Wendy's"":29,""Enmarket"":28,""Kroger"":28,""Goodwill Industries"":26,""Piercing Pagoda"":25,""Kroger Fuel Center"":23,""CVS"":23,""Walgreens"":23,""Starbucks"":20,""Dollar General"":19,""Sam's Club"":18,""Zaxby's"":18}","[46,40,42,38,34,42,47,66,67,80,98,116,171,178,170,186,178,170,168,141,108,107,85,49]","{""Monday"":158,""Tuesday"":164,""Wednesday"":183,""Thursday"":181,""Friday"":274,""Saturday"":251,""Sunday"":236}","{""android"":399,""ios"":582}"
222-223@8g8-g83-8y9,,Walmart Supercenter,980 W Parker St,Baxley,GA,31513,SG_BRAND_04a8ca7bf49e7ecb4a32451676e929f0,Walmart,2019-03-01T00:00:00-05:00,2019-04-01T00:00:00-04:00,4090,1647,"[166,168,153,128,124,112,116,116,158,141,120,112,100,141,149,164,131,129,124,113,122,141,178,127,136,108,94,82,151,163,123]",130019502002,"{""130019502001"":93,""130019503004"":74,""130019501002"":73,""130019501001"":71,""130019503002"":69,""130019505002"":60,""130019505003"":59,""130019502002"":56,""130019503003"":48,""130019502003"":47,""131619601001"":40,""130059702021"":39,""130019505001"":39,""130059701003"":37,""130059702011"":30,""130019504002"":29,""130059702012"":28,""130059701001"":28,""130019503001"":23,""131619602002"":18,""130059701002"":18,""130059702022"":16,""131619602001"":13,""130019504001"":13,""130059702013"":13,""131619601003"":12,""131619602004"":12,""131619601004"":11,""131839701002"":10,""131619603002"":9,""133059701004"":9,""131619601002"":8,""130059702023"":8,""132679504001"":8,""132799706001"":8,""133059701001"":7,""132679504004"":7,""130439503001"":6,""132679503001"":6,""130810103001"":5,""133059701003"":5,""130919604001"":5,""132799705002"":5,""010690419005"":4,""130670301013"":4,""131850103012"":4,""130919605001"":4,""132719501001"":4,""133159602001"":4,""132299603002"":4,""132719501005"":4,""130690105002"":4,""132999505005"":4,""133059701002"":4,""132679504002"":4,""130771704031"":4,""131839701001"":4,""130690105003"":4,""131619603001"":4,""131759502021"":4,""130510108034"":4,""133059702004"":4,""130390102002"":4,""450339701002"":4,""132799703005"":4,""132679504003"":4,""130690107001"":4,""130919602002"":4,""130259603003"":4,""133059704003"":4,""130259602001"":4,""130690108023"":4,""120090711002"":4,""130237901002"":4,""131210114112"":4,""131759505003"":4,""131530211033"":4,""132299602001"":4,""132799702001"":4,""132799705001"":4,""131270006001"":4,""132299604002"":4,""130919604003"":4,""132099501002"":4,""132719501003"":4,""132679501002"":4,""132299601002"":4,""131079704001"":4,""133097802003"":4,""133059702001"":4,""130919603001"":4,""132150101043"":4,""130510113001"":4,""130311102002"":4,""130690101001"":4,""130690108021"":4,""132719505002"":4,""133059706001"":4,""481719504001"":4,""131759502022"":4,""120890505041"":4,""130179605002"":4,""360690511003"":4,""132679503002"":4,""130299201021"":4,""130759604002"":4,""130259601002"":4,""132679502011"":4,""131270004043"":4,""132679501003"":4,""170370010013"":4,""133059704001"":4,""130690107004"":4,""132099503002"":4,""132299601001"":4,""130690104003"":4,""132799706003"":4,""130690107002"":4,""130237903001"":4,""133059702002"":4,""133059703002"":4,""120330021001"":4,""130790702021"":4,""131619601005"":4,""130311104032"":4,""131850113013"":4,""131099701002"":4,""130099703001"":4,""130510110032"":4,""130179605001"":4,""131530201092"":4,""133059703003"":4,""132799706002"":4,""131079706002"":4,""132930102012"":4,""132679502021"":4,""130890234123"":4,""133059706002"":4,""132110104001"":4,""131079704002"":4,""130919603002"":4,""132999502003"":4,""132070503023"":4,""131759510003"":4,""484391115391"":4}","{""13001950300"":208,""13001950200"":195,""13001950500"":161,""13001950100"":145,""13005970100"":81,""13161960100"":77,""13005970201"":68,""13005970202"":61,""13161960200"":46,""13001950400"":44,""13305970100"":22,""13267950400"":21,""13161960300"":13,""13279970600"":13,""13271950100"":11,""13305970400"":11,""13229960200"":10,""13229960100"":9,""13279970500"":9,""13267950300"":9,""13271950500"":9,""13183970100"":8,""13305970600"":7,""13091960300"":7,""13267950100"":7,""13305970200"":7,""13031110403"":6,""13063040410"":6,""13279970300"":6,""13069010700"":6,""13153021400"":5,""13127000600"":5,""13299950100"":5,""13279970200"":5,""13095000100"":5,""13229960400"":5,""13017960500"":5,""01081042004"":5,""13069010200"":5,""13279970100"":4,""13107970400"":4,""13217100800"":4,""13215010203"":4,""13319960300"":4,""13069010500"":4,""13029920102"":4,""45059920800"":4,""13031110700"":4,""13267950201"":4,""13065970200"":4,""13029920306"":4,""13023790100"":4,""13127000404"":4,""13293010100"":4,""13135050532"":4,""13209950300"":4,""13211010400"":4,""13139000900"":4,""13175951000"":4,""13025960100"":4,""13069010100"":4,""45077010200"":4,""13069010802"":4,""13095001100"":4,""13299950500"":4,""13033950700"":4,""13039010200"":4,""13297110508"":4,""13023790300"":4,""13209950200"":4,""13127000503"":4,""13051010803"":4,""48439111539"":4,""13209950100"":4,""13031110800"":4,""13075960200"":4,""25027703100"":4,""13121007807"":4,""13073030102"":4,""13283960100"":4,""13175950202"":4,""13279970400"":4,""06079011600"":4,""37183051600"":4,""13309780200"":4,""13025960200"":4,""13299950200"":4,""13215010104"":4,""13305970300"":4,""13025960300"":4,""13069010600"":4,""13185011301"":4,""13051004100"":4,""13177020300"":4,""12089050504"":4,""13105000200"":4,""40109107607"":4,""13267950202"":4,""13179010204"":4,""13069010801"":4}","{""130019503003"":91,""130019503002"":76,""130019503004"":76,""130019502001"":67,""130019501002"":64,""130019502002"":61,""130019502003"":54,""130019501001"":45,""130019505002"":44,""130019505003"":42,""130019503001"":38,""131619601001"":32,""130059702021"":32,""130019505001"":29,""130059701003"":29,""130059702011"":28,""130059702013"":27,""131619602004"":25,""130059702012"":24,""130059701001"":23,""130019504002"":22,""130059702022"":20,""130059701002"":15,""131619601004"":12,""131619602002"":12,""132799704004"":11,""130019504001"":10,""130059702023"":10,""132679504001"":10,""133059701004"":9,""131619602001"":9,""133059703003"":9,""131839701002"":8,""131619601002"":8,""132719501003"":7,""131619601003"":6,""132799702002"":6,""132679503002"":6,""133059701001"":6,""130690107004"":6,""132779609001"":6,""131619601005"":6,""130919604003"":6,""131079704002"":6,""130690107001"":6,""132679504004"":6,""130510110032"":5,""133059703001"":5,""131619603002"":5,""132299604001"":5,""130630404101"":5,""132299604002"":5,""132719501005"":5,""132679503001"":5,""132779603003"":5,""130179602001"":4,""131270004042"":4,""133059701002"":4,""120190301024"":4,""130299201021"":4,""131850111002"":4,""130690104001"":4,""133059705001"":4,""132799705003"":4,""130510107001"":4,""132799703005"":4,""133219506002"":4,""131270006001"":4,""132359501002"":4,""132299601002"":4,""132799706001"":4,""130510108032"":4,""131270010001"":4,""130670301032"":4,""132719505003"":4,""131530211044"":4,""132799703003"":4,""133059706001"":4,""171610219001"":4,""133059704001"":4,""132999505005"":4,""130690105003"":4,""132110104001"":4,""132999506002"":4,""131790106002"":4,""130510111031"":4,""132999508001"":4,""130690105002"":4,""131759504004"":4,""131510701071"":4,""011030010002"":4,""130237903001"":4,""132999505001"":4,""132799705001"":4,""131030304022"":4,""131530206002"":4,""130390104021"":4,""132999502003"":4,""120174507021"":4,""132150102032"":4,""130259601002"":4,""132099503001"":4,""133059702001"":4,""132799703001"":4,""130690104003"":4,""131790102051"":4,""133059705003"":4,""132450101072"":4,""130210134112"":4,""130339501001"":4,""121150027132"":4,""132799705002"":4,""132719501002"":4,""132679501002"":4,""132719505002"":4,""130790702021"":4,""132799702003"":4,""131759505003"":4,""132099503002"":4,""130510113001"":4,""132679504002"":4,""131530211033"":4,""120879708002"":4,""133059701003"":4,""131839701001"":4,""130810103001"":4,""130390104031"":4,""130759602001"":4,""130690108012"":4,""133059704003"":4,""132679501003"":4,""130311104032"":4,""130259602003"":4,""130690105001"":4,""131619603001"":4,""131770203001"":4,""130919603002"":4,""130259602001"":4,""131018801001"":4,""132299602001"":4,""120890505041"":4,""120310104011"":4,""132679502021"":4,""131079704003"":4}","{""US"":1600}",21427,21.0,"{""<5"":101,""5-10"":1012,""11-20"":912,""21-60"":1601,""61-120"":269,""121-240"":72,"">240"":123}","{""Flash Foods"":6,""McDonald's"":5,""Zaxby's"":4,""Harveys Supermarket"":4,""Murphy USA"":4,""Dollar General"":4,""Dairy Queen"":4,""Anytime Fitness"":3,""Dollar Tree"":3,""Huddle House"":2,""Taco Bell"":2,""Checkers Drive-In Restaurants"":2,""Burger King"":2,""CVS"":2,""Tractor Supply Co."":2,""Subway"":2,""Parker's"":2,""Arby's"":2,""KFC"":2,""Dodge"":1}","{""Flash Foods"":47,""Dairy Queen"":43,""McDonald's"":43,""Dollar General"":38,""Zaxby's"":32,""Harveys Supermarket"":29,""Huddle House"":24,""Subway"":23,""Burger King"":22,""Murphy USA"":21,""Dollar Tree"":21,""Chick-fil-A"":20,""Taco Bell"":19,""Lowe's"":19,""Shell Oil"":18,""Family Dollar Stores"":18,""CVS"":17,""KFC"":17,""Arby's"":17,""Anytime Fitness"":16}","[61,50,47,72,73,92,119,177,222,294,367,441,453,537,488,491,477,510,476,393,292,260,147,83]","{""Monday"":513,""Tuesday"":468,""Wednesday"":419,""Thursday"":461,""Friday"":723,""Saturday"":831,""Sunday"":675}","{""android"":872,""ios"":783}"
